,count,mean,std,min,25%,50%,75%,max
Year,2750.0,1992.5,14.433494199948068,1968.0,1980.0,1992.5,2005.0,2017.0
High_Value,2739.0,3.6537614092734096,2.56030778245663,0.0,1.6,3.35,5.15,11.5
Low_Value,2739.0,3.533554764512554,2.5394244291561865,0.0,1.6,3.35,5.15,11.5
CPI_Average,2750.0,138.82898333440127,65.82380707842874,34.78333333,82.40833333,142.3875,195.2916667,245.1195833
High_2018,2739.0,6.441485943775099,3.025139665726921,0.0,5.98,7.37,8.28,15.12
Low_2018,2739.0,6.200251916757936,3.01781773125649,0.0,5.23,7.17,8.07,15.12
