,Year,State,Table_Data,High_Value,Low_Value,CPI_Average,High_2018,Low_2018
0,1968,Alabama,,0,0,34.78333333,0,0
1,1968,Alaska,2.1,2.1,2.1,34.78333333,15.12,15.12
2,1968,Arizona,18.72 - 26.40/wk(b),0.66,0.468,34.78333333,4.75,3.37
3,1968,Arkansas,1.25/day(b),0.15625,0.15625,34.78333333,1.12,1.12
4,1968,California,1.65(b),1.65,1.65,34.78333333,11.88,11.88
5,1968,Colorado,1.00 - 1.25(b),1.25,1,34.78333333,9,7.2
