state_abbr,county,zipcode
ky,Bourbon,40348
il,Marion,62801
ok,Pawnee,74020
ks,Harvey,67020
mo,Buchanan,64401
ga,Dooly,31007
sc,Abbeville,29620
co,Kit Carson,80805
md,Wicomico,21801
il,Kane,60109
